year,world_avg_temp,bos_avg_temp
1781,8.1,7.61
1782,7.9,6.98
1783,7.68,6.64
1784,7.86,6.24
1785,7.36,6.32
1786,8.26,6.81
1787,8.03,6.81
1788,8.45,7.6
1789,8.33,7.25
1790,7.98,7.22
1791,8.23,7.11
1792,8.09,6.47
1793,8.23,7.81
1794,8.53,7.76
1795,8.35,7.02
1796,8.27,6.82
1797,8.51,6.7
1798,8.67,7.37
1799,8.51,6.85
1800,8.48,7.59
1801,8.59,8.01
1802,8.58,8.24
1803,8.5,7.81
1804,8.84,7.43
1805,8.56,8.26
1806,8.43,7.05
1807,8.28,6.89
1808,7.63,7.31
1809,7.08,6.57
1810,6.92,7.24
1811,6.86,7.43
1812,7.05,5.48
1813,7.74,6.61
1814,7.59,6.36
1815,7.24,6.13
1816,6.94,5.83
1817,6.98,5.57
1818,7.83,5.91
1819,7.37,6.99
1820,7.62,6.8
1821,8.09,6.52
1822,8.19,7.37
1823,7.72,6.26
1824,8.55,7.04
1825,8.39,8
1826,8.36,7.84
1827,8.81,6.96
1828,8.17,8.45
1829,7.94,6.74
1830,8.52,7.72
1831,7.64,7.15
1832,7.45,6.67
1833,8.01,6.76
1834,8.15,6.91
1835,7.39,5.97
1836,7.7,5.28
1837,7.38,5.59
1838,7.51,6.36
1839,7.63,6.95
1840,7.8,6.98
1841,7.69,6.83
1842,8.02,6.93
1843,8.17,6.3
1844,7.65,6.57
1845,7.85,7.01
1846,8.55,7.37
1847,8.09,7.12
1848,7.98,7.06
1849,7.98,6.58
1850,7.9,6.72
1851,8.18,6.61
1852,8.1,6.69
1853,8.04,7.12
1854,8.21,6.95
1855,8.11,6.92
1856,8,5.92
1857,7.76,6.64
1858,8.1,6.56
1859,8.25,6.57
1860,7.96,6.9
1861,7.85,7.04
1862,7.56,6.77
1863,8.11,6.92
1864,7.98,7.14
1865,8.18,7.49
1866,8.29,6.77
1867,8.44,6.42
1868,8.25,5.89
1869,8.43,6.68
1870,8.2,7.91
1871,8.12,6.63
1872,8.19,6.41
1873,8.35,6
1874,8.43,6.47
1875,7.86,5.28
1876,8.08,6.83
1877,8.54,7.79
1878,8.83,8.01
1879,8.17,6.85
1880,8.12,7.61
1881,8.27,7.35
1882,8.13,6.89
1883,7.98,6.18
1884,7.77,7.08
1885,7.92,6.33
1886,7.95,6.95
1887,7.91,6.8
1888,8.09,5.89
1889,8.32,7.98
1890,7.97,7.15
1891,8.02,7.91
1892,8.07,7.23
1893,8.06,6.43
1894,8.16,7.75
1895,8.15,7.27
1896,8.21,7.28
1897,8.29,7.53
1898,8.18,8.01
1899,8.4,7.53
1900,8.5,7.95
1901,8.54,7.29
1902,8.3,7.46
1903,8.22,7.35
1904,8.09,5.85
1905,8.23,6.83
1906,8.38,7.61
1907,7.95,6.48
1908,8.19,7.85
1909,8.18,7.43
1910,8.22,7.62
1911,8.18,7.73
1912,8.17,7.16
1913,8.3,8.58
1914,8.59,6.89
1915,8.59,7.98
1916,8.23,7.05
1917,8.02,6.04
1918,8.13,7.17
1919,8.38,7.9
1920,8.36,7.16
1921,8.57,8.52
1922,8.41,7.71
1923,8.42,7.07
1924,8.51,6.88
1925,8.53,7.68
1926,8.73,6.39
1927,8.52,7.99
1928,8.63,7.81
1929,8.24,7.7
1930,8.63,8.21
1931,8.72,8.74
1932,8.71,8.19
1933,8.34,7.89
1934,8.63,7.29
1935,8.52,7.3
1936,8.55,7.58
1937,8.7,8.26
1938,8.86,8.38
1939,8.76,7.55
1940,8.76,6.68
1941,8.77,8.16
1942,8.73,8.03
1943,8.76,7.22
1944,8.85,7.87
1945,8.58,7.96
1946,8.68,8.28
1947,8.8,7.96
1948,8.75,7.68
1949,8.59,9.3
1950,8.37,7.85
1951,8.63,8.27
1952,8.64,8.58
1953,8.87,9.33
1954,8.56,8.12
1955,8.63,8.2
1956,8.28,7.45
1957,8.73,8.51
1958,8.77,7.2
1959,8.73,8.41
1960,8.58,7.81
1961,8.8,7.94
1962,8.75,7.09
1963,8.86,7.44
1964,8.41,7.74
1965,8.53,7.49
1966,8.6,7.77
1967,8.7,7.34
1968,8.52,7.55
1969,8.6,7.97
1970,8.7,7.7
1971,8.6,7.79
1972,8.5,7.19
1973,8.95,8.97
1974,8.47,7.86
1975,8.74,8.35
1976,8.35,7.52
1977,8.85,7.88
1978,8.69,7.07
1979,8.73,8.32
1980,8.98,7.54
1981,9.17,8.02
1982,8.64,7.62
1983,9.03,8.54
1984,8.69,8.3
1985,8.66,7.86
1986,8.83,7.84
1987,8.99,7.97
1988,9.2,7.9
1989,8.92,7.51
1990,9.23,9.2
1991,9.18,9.08
1992,8.84,7.4
1993,8.87,7.84
1994,9.04,7.96
1995,9.35,8.13
1996,9.04,7.93
1997,9.2,7.87
1998,9.52,9.63
1999,9.29,9.3
2000,9.2,8
2001,9.41,8.91
2002,9.57,9.02
2003,9.53,7.78
2004,9.32,8.09
2005,9.7,8.56
2006,9.53,9.48
2007,9.73,8.36
2008,9.43,8.53
2009,9.51,8.07
2010,9.7,9.58
2011,9.52,9.12
2012,9.51,10.06
2013,9.61,10.38
